gender,ethnicity,income,deductions,dependents,filing_status,audit_risk_label
Male,GroupA,88244.41,8909.77,0,married,0
Male,GroupC,58407.17,5761.83,4,single,0
Female,GroupB,69047.44,6739.56,2,single,0
Female,GroupB,38752.13,4551.83,2,married,1
Female,GroupB,68566.14,6076.19,4,single,0
Female,GroupA,56257.11,8147.46,4,single,0
Male,GroupA,79714.6,2972.16,1,head_of_household,0
Male,GroupA,83747.72,10078.09,4,married,0
Male,GroupA,111791.27,14511.39,3,single,0
Male,GroupB,71592.66,5461.22,4,married,0
Male,GroupA,66515.93,17596.42,3,married,1
Male,GroupA,63887.69,12553.96,4,single,0
Female,GroupC,52936.67,15152.9,1,head_of_household,1
Male,GroupC,66769.68,6710.83,3,married,0
Male,GroupC,54091.97,14272.63,0,single,1
Female,GroupC,63369.22,4540.33,3,married,0
Male,GroupA,86351.95,14451.24,1,head_of_household,0
Male,GroupA,39869.15,10859.2,3,head_of_household,1
Female,GroupB,82797.57,12766.26,4,head_of_household,0
Male,GroupB,86342.3,4122.03,4,single,0
Male,GroupA,57638.63,5524.65,1,single,0
Male,GroupC,20000.0,12986.14,2,head_of_household,1
Male,GroupA,47843.56,5258.26,4,single,0
Female,GroupA,85939.89,12316.03,0,head_of_household,0
Female,GroupB,59542.64,3164.31,1,single,0
Female,GroupB,40013.96,14240.87,3,head_of_household,1
Female,GroupB,49904.5,3837.38,3,married,0
Female,GroupA,76812.4,12761.5,0,head_of_household,0
Male,GroupC,70934.67,13128.15,4,head_of_household,0
Female,GroupA,55221.36,6516.14,1,single,0
Male,GroupA,52663.51,12910.13,0,single,0
Female,GroupC,52164.84,11302.21,4,single,0
Female,GroupC,41551.8,7305.79,1,single,0
Male,GroupC,92307.51,4957.23,3,single,0
Male,GroupC,53553.59,186.87,1,single,0
Male,GroupB,84343.17,11748.25,2,married,0
Male,GroupB,90426.32,2175.99,1,head_of_household,0
Female,GroupA,79966.22,10476.72,2,head_of_household,0
Female,GroupA,51367.59,8682.76,1,head_of_household,0
Male,GroupA,68074.6,13395.71,2,married,0
Male,GroupA,59516.09,8489.77,3,head_of_household,0
Male,GroupB,41925.96,8352.76,4,married,0
Male,GroupA,66487.19,13659.35,2,married,0
Male,GroupA,36419.2,11675.29,2,married,1
Male,GroupA,83753.59,11580.78,3,head_of_household,0
Female,GroupB,50707.65,12346.34,2,married,0
Male,GroupA,64023.19,2322.14,0,head_of_household,0
Male,GroupC,65665.76,13783.94,3,head_of_household,0
Female,GroupA,54821.9,13062.34,0,single,0
Male,GroupA,71733.88,4916.58,3,single,0
Female,GroupB,50501.93,8779.6,2,married,0
Female,GroupC,77425.95,9803.46,0,married,0
Male,GroupA,33080.41,9327.52,2,head_of_household,1
Male,GroupB,62527.59,11669.3,3,married,0
Male,GroupB,98778.58,17156.83,2,married,0
Male,GroupA,39993.37,15408.83,0,head_of_household,1
Male,GroupC,46445.1,3438.9,0,married,0
Female,GroupB,70278.16,13110.35,2,married,0
Male,GroupB,63591.64,16644.67,1,head_of_household,1
Male,GroupC,67012.6,11934.04,3,head_of_household,0
Male,GroupC,69783.74,15454.9,3,single,0
Female,GroupB,72694.43,20061.35,2,head_of_household,1
Male,GroupC,82194.0,15118.55,1,single,0
Male,GroupB,68196.37,11246.54,0,married,0
Male,GroupB,55174.85,15225.44,4,head_of_household,1
Female,GroupB,73451.47,10724.44,4,head_of_household,0
Male,GroupB,97997.64,10119.52,2,head_of_household,0
Female,GroupA,57347.33,8242.93,1,married,0
Female,GroupC,40509.41,17817.07,1,single,1
Male,GroupC,82141.61,5907.86,3,married,0
Female,GroupA,57592.38,17661.84,0,married,1
Male,GroupC,20000.0,12499.32,1,head_of_household,1
Female,GroupA,76948.43,3003.47,4,single,0
Female,GroupA,49293.44,11838.25,0,married,0
Male,GroupB,58189.33,0.0,0,head_of_household,0
Male,GroupA,66639.61,13127.54,2,married,0
Female,GroupC,63809.99,14426.16,1,married,0
Male,GroupC,74189.04,7038.22,2,head_of_household,0
Male,GroupB,51290.27,10617.74,1,head_of_household,0
Male,GroupA,70262.12,19770.79,3,single,1
Female,GroupA,54809.07,7471.27,2,married,0
Female,GroupB,74776.21,4705.46,2,head_of_household,0
Male,GroupC,72307.35,17408.32,4,head_of_household,0
Male,GroupB,41291.23,19812.94,2,single,1
Male,GroupA,81719.64,10018.48,1,single,0
Female,GroupB,49280.73,15057.32,4,head_of_household,1
Male,GroupB,76161.16,16707.38,2,single,0
Female,GroupB,67345.75,6287.58,2,head_of_household,0
Male,GroupA,96763.67,7573.47,3,married,0
Female,GroupB,55530.68,16154.37,2,single,1
Male,GroupB,53013.66,18425.07,0,married,1
Male,GroupC,59611.61,12814.4,4,married,0
Male,GroupA,53936.4,5600.93,0,married,0
Female,GroupB,75998.84,19935.31,4,head_of_household,1
Female,GroupC,27673.79,7345.15,3,married,1
Male,GroupA,38926.35,8324.31,2,married,1
Female,GroupC,38643.94,11711.69,2,married,1
Female,GroupB,79006.15,17770.8,2,head_of_household,0
Female,GroupA,94212.27,14269.88,4,married,0
Male,GroupA,57911.02,12074.33,2,married,0
Male,GroupB,56623.57,12316.44,0,single,0
Male,GroupA,61401.04,10217.57,2,head_of_household,0
Female,GroupB,83237.57,12790.7,3,married,0
Female,GroupA,41452.94,0.0,0,single,0
Female,GroupB,64767.38,8516.96,2,head_of_household,0
Male,GroupA,79503.95,11206.61,2,head_of_household,0
Male,GroupC,70021.88,4244.93,1,head_of_household,0
Female,GroupC,63791.63,11931.62,4,head_of_household,0
Female,GroupC,80020.92,8977.64,0,head_of_household,0
Female,GroupB,20000.0,18777.38,1,head_of_household,1
Female,GroupA,73557.51,17865.1,3,married,0
Female,GroupB,46918.49,7670.97,4,married,0
Male,GroupA,23387.34,9245.81,0,married,1
Male,GroupA,70224.05,9630.26,2,married,0
Female,GroupA,87473.17,7741.7,0,single,0
Female,GroupA,57251.03,10975.12,2,married,0
Male,GroupB,79057.49,6208.59,4,head_of_household,0
Male,GroupB,92245.57,4346.92,2,married,0
Female,GroupA,86298.29,13113.56,3,married,0
Male,GroupA,92799.29,13147.65,2,head_of_household,0
Male,GroupC,74842.55,5978.42,3,married,0
Male,GroupA,61508.67,14476.78,4,married,0
Female,GroupA,27960.68,6842.11,4,married,1
Female,GroupA,55078.75,11265.83,0,single,0
Male,GroupB,43135.07,14101.72,3,married,1
Female,GroupB,103418.85,9831.94,3,head_of_household,0
Male,GroupA,56482.28,12273.7,1,head_of_household,0
Male,GroupA,62464.1,7417.85,1,married,0
Female,GroupB,71029.71,9017.67,1,married,0
Female,GroupB,60872.05,8970.7,2,married,0
Female,GroupA,93901.02,6267.11,1,head_of_household,0
Female,GroupC,47547.01,9116.13,3,head_of_household,0
Female,GroupA,63892.15,2256.91,2,single,0
Male,GroupA,45150.59,7544.23,4,single,0
Male,GroupC,33599.55,8575.62,0,single,1
Male,GroupA,47764.62,8719.1,1,head_of_household,0
Male,GroupB,59259.26,8792.51,4,single,0
Female,GroupA,51413.96,9691.18,3,married,0
Male,GroupA,46151.58,12397.21,0,married,1
Female,GroupC,31873.65,14372.59,4,head_of_household,1
Female,GroupA,58337.89,6751.17,0,single,0
Female,GroupC,29905.59,3984.0,1,married,1
Male,GroupA,75201.12,4789.78,3,head_of_household,0
Female,GroupA,61648.8,7563.99,0,single,0
Male,GroupA,30848.97,8240.39,4,married,1
Male,GroupB,53815.82,6150.02,1,single,0
Female,GroupA,44956.87,3519.42,1,head_of_household,0
Male,GroupC,66383.49,7719.4,4,single,0
Male,GroupA,86809.01,10907.13,4,head_of_household,0
Female,GroupC,22496.55,12975.15,0,single,1
Male,GroupA,62300.52,7212.88,2,married,0
Female,GroupC,56797.34,7935.01,1,head_of_household,0
Female,GroupB,73426.8,5366.51,0,head_of_household,0
Female,GroupB,64263.93,9842.8,4,head_of_household,0
Male,GroupC,44960.61,5757.86,0,single,0
Male,GroupB,53618.92,12865.64,4,single,0
Female,GroupB,44079.48,1070.67,3,married,0
Male,GroupA,81520.14,8201.85,4,head_of_household,0
Female,GroupA,60426.23,11505.54,4,head_of_household,0
Female,GroupC,98023.81,10919.17,4,single,0
Female,GroupB,58786.78,23465.17,2,single,1
Male,GroupB,45831.86,11749.0,4,married,1
Male,GroupA,29725.71,4979.73,1,married,1
Female,GroupA,23937.21,9522.68,1,single,1
Male,GroupA,28317.28,1118.77,0,head_of_household,1
Male,GroupB,65342.53,9597.0,2,married,0
Female,GroupA,70174.5,5834.72,0,single,0
Female,GroupA,28376.19,14576.95,1,single,1
Female,GroupA,77900.77,7252.3,1,head_of_household,0
Female,GroupA,50338.78,9416.17,3,single,0
Male,GroupB,62935.86,6822.21,4,single,0
Female,GroupA,92244.41,18694.26,1,married,0
Female,GroupB,77936.79,8393.79,0,single,0
Male,GroupA,54629.39,19162.79,0,single,1
Male,GroupA,42176.16,14070.76,4,married,1
Female,GroupA,20000.0,12410.33,4,head_of_household,1
Female,GroupA,45616.93,11843.67,3,head_of_household,1
Female,GroupA,55777.4,11968.99,2,married,0
Female,GroupA,40256.41,361.64,0,married,0
Male,GroupB,57374.86,8605.58,4,head_of_household,0
Male,GroupA,61537.04,14225.79,0,head_of_household,0
Female,GroupB,55502.88,9755.51,4,head_of_household,0
Female,GroupC,46999.95,2974.05,1,head_of_household,0
Female,GroupB,63373.09,9737.98,0,head_of_household,0
Female,GroupA,68838.81,18520.53,1,married,1
Male,GroupA,38192.02,16234.46,0,single,1
Male,GroupA,88218.65,9689.98,2,head_of_household,0
Female,GroupA,58028.24,14757.25,3,head_of_household,1
Female,GroupC,60376.99,8167.46,1,single,0
Female,GroupA,74164.29,1480.64,4,single,0
Female,GroupA,64664.32,5377.67,2,single,0
Female,GroupB,79062.73,17814.44,0,single,0
Male,GroupB,65742.48,8630.03,1,single,0
Male,GroupB,47751.25,8783.08,0,single,0
Male,GroupA,67230.07,8500.81,0,married,0
Female,GroupA,37125.48,19520.68,0,single,1
Male,GroupB,62171.19,18129.79,3,single,1
Male,GroupA,59335.4,21093.9,3,married,1
Male,GroupA,55837.66,9204.77,4,single,0
Male,GroupA,57429.25,11478.12,1,head_of_household,0
Female,GroupA,22363.02,2416.79,2,head_of_household,1
Male,GroupA,49025.5,17384.67,2,single,1
Male,GroupA,61856.9,4161.1,2,married,0
Female,GroupB,63197.13,11083.88,0,head_of_household,0
Male,GroupB,39446.5,4513.49,3,married,1
Male,GroupC,85314.16,7055.67,1,head_of_household,0
Male,GroupA,42676.5,5813.69,0,single,0
Female,GroupA,79389.14,6960.62,3,married,0
Male,GroupA,68543.89,7304.39,3,married,0
Female,GroupB,47075.45,7258.66,1,married,0
Male,GroupB,95506.22,14166.67,1,head_of_household,0
Male,GroupA,36127.26,4475.69,1,head_of_household,1
Male,GroupC,78383.08,11102.71,0,head_of_household,0
Male,GroupA,80011.65,16089.8,4,single,0
Female,GroupB,46587.6,7434.02,1,head_of_household,0
Female,GroupB,87849.31,6410.41,4,single,0
Female,GroupC,54999.07,8847.38,0,married,0
Male,GroupB,65773.87,15898.63,4,married,0
Male,GroupC,65206.44,10970.54,2,single,0
Female,GroupA,57313.83,7343.93,4,head_of_household,0
Male,GroupC,76216.17,12419.38,1,single,0
Male,GroupA,75869.77,4488.54,0,married,0
Male,GroupC,25029.36,13406.8,1,married,1
Male,GroupB,86086.8,12043.04,2,single,0
Female,GroupC,26750.16,8460.96,1,head_of_household,1
Female,GroupA,80650.92,5807.07,1,head_of_household,0
Female,GroupB,82534.1,5566.6,1,single,0
Male,GroupB,38180.67,12674.09,3,single,1
Male,GroupB,51783.71,16144.9,2,head_of_household,1
Male,GroupA,37885.91,6813.46,1,married,1
Male,GroupA,55701.58,12291.93,1,single,0
Male,GroupA,53839.31,0.0,1,head_of_household,0
Female,GroupA,75593.21,7076.91,0,head_of_household,0
Female,GroupC,86206.17,9844.71,3,married,0
Male,GroupA,87913.68,5451.58,0,married,0
Female,GroupC,48756.64,5317.47,3,married,0
Female,GroupA,55815.56,6661.1,1,married,0
Female,GroupA,26331.24,11460.96,2,married,1
Female,GroupB,43882.6,9063.35,4,single,0
Male,GroupB,79297.03,0.0,4,head_of_household,0
Male,GroupA,92311.66,0.0,1,single,0
Male,GroupB,35313.02,6965.67,0,single,1
Female,GroupB,48150.71,12288.43,2,single,1
Male,GroupA,59471.88,0.0,3,single,0
Male,GroupC,65603.22,7501.35,1,single,0
Male,GroupC,43807.93,7368.76,2,married,0
Male,GroupB,68481.22,16941.69,2,married,0
Female,GroupA,50523.21,8074.89,3,head_of_household,0
Female,GroupB,59710.95,11914.94,2,single,0
Male,GroupA,70925.68,10706.29,0,head_of_household,0
Male,GroupA,60128.45,0.0,0,married,0
Male,GroupA,51272.28,13841.04,0,married,1
Male,GroupA,57807.8,11076.98,2,married,0
Male,GroupC,58232.74,12541.34,0,single,0
Male,GroupB,52599.78,29631.19,3,single,1
Male,GroupB,54824.08,0.0,2,married,0
Female,GroupA,91972.94,18623.48,4,head_of_household,0
Female,GroupA,71218.39,8562.76,2,head_of_household,0
Male,GroupA,54090.39,11436.64,3,married,0
Male,GroupC,73939.09,9772.44,4,head_of_household,0
Female,GroupA,53323.61,7878.82,2,married,0
Male,GroupC,83462.49,7150.84,0,head_of_household,0
Female,GroupB,67392.84,11647.54,1,married,0
Female,GroupA,57853.96,2414.13,1,head_of_household,0
Male,GroupB,68954.34,13752.9,0,single,0
Male,GroupA,28582.48,7919.03,1,married,1
Female,GroupC,37464.65,4349.65,1,married,1
Male,GroupC,36121.5,7749.94,0,head_of_household,1
Female,GroupA,62858.86,16285.75,0,married,1
Female,GroupA,94650.3,7323.32,2,married,0
Female,GroupB,104626.0,11792.27,2,married,0
Male,GroupC,72761.02,6345.22,0,single,0
Female,GroupA,70016.89,13789.61,3,single,0
Male,GroupB,23978.85,13427.54,1,head_of_household,1
Male,GroupB,49146.52,19243.04,2,single,1
Female,GroupB,44244.32,9122.18,1,head_of_household,0
Male,GroupA,47583.05,13343.27,4,single,1
Female,GroupB,56637.12,10490.34,0,head_of_household,0
Female,GroupC,50558.19,16479.36,3,single,1
Male,GroupA,20414.0,6405.84,4,single,1
Male,GroupA,74958.21,13725.03,4,head_of_household,0
Male,GroupC,38545.14,9026.51,4,married,1
Male,GroupA,64784.94,9679.06,0,married,0
Male,GroupC,101481.65,10458.76,2,single,0
Female,GroupA,41612.31,11261.2,0,head_of_household,1
Male,GroupA,20000.0,9418.85,2,married,1
Male,GroupC,54279.92,11073.57,4,head_of_household,0
Female,GroupA,82019.19,17890.59,4,married,0
Male,GroupB,99166.95,14927.25,3,head_of_household,0
Female,GroupA,35409.01,14345.77,2,single,1
Male,GroupB,69933.98,7722.3,4,head_of_household,0
Male,GroupA,50693.79,5553.8,1,married,0
Female,GroupA,57881.03,14776.5,3,single,1
Female,GroupC,112886.87,14380.23,0,head_of_household,0
Female,GroupA,29940.59,17363.35,3,married,1
Female,GroupB,65074.79,6980.1,1,single,0
Female,GroupA,69353.86,8852.26,2,head_of_household,0
Male,GroupB,81715.73,1802.58,0,married,0
Male,GroupA,61959.66,8037.64,0,head_of_household,0
Female,GroupC,66161.01,14982.85,2,head_of_household,0
Female,GroupA,52167.03,7667.52,3,single,0
Female,GroupA,65382.54,13202.4,4,single,0
Male,GroupA,53136.15,9047.48,3,married,0
Male,GroupA,72431.44,11620.29,1,single,0
Female,GroupB,52607.79,4261.54,4,married,0
Male,GroupA,67542.01,10426.05,3,head_of_household,0
Female,GroupC,59414.74,0.0,2,head_of_household,0
Female,GroupA,82521.01,9065.52,1,married,0
Male,GroupA,58972.13,1847.63,1,head_of_household,0
Female,GroupB,24539.35,16029.97,1,single,1
Female,GroupB,85238.43,13887.04,4,head_of_household,0
Male,GroupA,41885.35,12333.35,0,single,1
Female,GroupA,46924.67,17605.03,4,married,1
Male,GroupA,48086.77,5255.42,3,married,0
Female,GroupB,87488.76,18736.82,0,head_of_household,0
Male,GroupB,20000.0,14660.96,3,head_of_household,1
Female,GroupA,122754.97,8817.22,0,single,0
Male,GroupC,81121.14,15678.1,4,single,0
Male,GroupC,64464.78,4468.53,1,head_of_household,0
Female,GroupB,58902.12,5877.43,2,head_of_household,0
Male,GroupC,65711.08,6957.05,1,married,0
Male,GroupA,70422.45,7355.11,4,married,0
Female,GroupA,72904.31,4717.21,0,married,0
Female,GroupA,71112.09,16115.42,1,head_of_household,0
Female,GroupA,61791.61,8705.73,4,head_of_household,0
Female,GroupB,56053.23,11762.52,3,head_of_household,0
Male,GroupC,56974.53,7148.24,2,married,0
Male,GroupA,56101.83,896.98,1,head_of_household,0
Male,GroupA,82675.4,11350.29,0,single,0
Female,GroupA,71871.13,438.73,3,head_of_household,0
Female,GroupC,20000.0,9656.83,4,head_of_household,1
Female,GroupA,73118.02,3158.42,2,head_of_household,0
Female,GroupB,63894.72,19936.38,0,head_of_household,1
Male,GroupA,59625.82,14556.81,4,head_of_household,0
Male,GroupA,52229.63,10528.77,4,single,0
Male,GroupC,82482.25,16318.53,1,single,0
Male,GroupC,78950.53,5768.42,1,head_of_household,0
Male,GroupA,44542.45,12717.4,0,married,1
Female,GroupC,68141.05,10999.05,4,head_of_household,0
Male,GroupB,40566.87,11320.1,1,head_of_household,1
Male,GroupC,32407.64,16361.77,2,head_of_household,1
Male,GroupA,47465.66,13662.46,2,married,1
Female,GroupB,77247.87,11443.62,4,married,0
Female,GroupA,79062.5,1725.56,1,married,0
Male,GroupB,70261.71,5199.77,0,single,0
Male,GroupA,74501.92,9386.46,0,married,0
Female,GroupA,70323.57,10466.86,0,single,0
Male,GroupA,47170.37,4348.98,2,single,0
Female,GroupB,68638.45,22058.38,1,married,1
Female,GroupA,76008.19,17581.97,1,married,0
Male,GroupB,75085.83,13010.59,2,married,0
Male,GroupC,83778.27,10360.18,0,single,0
Female,GroupA,74166.08,8938.96,0,head_of_household,0
Male,GroupB,67028.96,5240.41,4,married,0
Male,GroupA,81403.0,10387.4,3,married,0
Female,GroupC,59469.57,11288.76,1,married,0
Female,GroupA,42362.51,3791.2,1,single,0
Female,GroupB,56738.66,11670.88,1,single,0
Female,GroupC,45101.95,9223.7,3,head_of_household,0
Male,GroupC,46496.43,460.96,4,married,0
Male,GroupB,57109.63,5698.07,3,single,0
Female,GroupA,44151.6,7931.97,0,head_of_household,0
Female,GroupB,53840.77,19438.44,0,married,1
Male,GroupC,22127.71,12782.77,1,single,1
Female,GroupB,64265.87,3322.59,2,married,0
Male,GroupA,60024.11,12430.18,1,married,0
Male,GroupC,43658.23,2263.48,2,single,0
Male,GroupB,73184.91,15413.46,3,single,0
Male,GroupB,78751.4,7644.38,0,single,0
Male,GroupA,27848.8,9531.82,2,married,1
Male,GroupB,44745.5,16628.98,3,married,1
Male,GroupA,44617.15,3564.18,0,head_of_household,0
Female,GroupB,41201.94,3014.41,2,married,0
Female,GroupA,76589.5,7082.0,1,single,0
Female,GroupB,56123.48,15191.89,1,married,1
Female,GroupC,54709.7,2403.27,1,head_of_household,0
Male,GroupA,20000.0,0.0,3,head_of_household,1
Male,GroupC,72708.36,7744.21,1,single,0
Female,GroupA,35214.83,12758.7,4,single,1
Male,GroupC,61198.65,16001.31,0,head_of_household,1
Female,GroupB,65547.54,7684.19,3,head_of_household,0
Male,GroupB,87213.17,7942.87,1,head_of_household,0
Female,GroupB,33823.59,15769.5,0,single,1
Male,GroupC,20000.0,651.29,2,head_of_household,1
Female,GroupA,63676.99,8057.4,1,head_of_household,0
Male,GroupA,96010.22,10952.12,0,single,0
Female,GroupB,84778.93,12246.09,4,married,0
Male,GroupC,64193.19,7450.97,2,married,0
Female,GroupB,50167.28,10172.21,4,head_of_household,0
Female,GroupB,76142.45,0.0,0,married,0
Male,GroupA,40529.08,6708.76,4,married,0
Female,GroupC,69527.16,12267.54,0,married,0
Female,GroupA,70109.4,5088.53,0,married,0
Male,GroupB,81204.2,10294.92,4,head_of_household,0
Female,GroupA,115193.2,12234.36,0,married,0
Female,GroupA,67848.32,8287.25,1,married,0
Female,GroupA,49820.73,10852.32,0,single,0
Male,GroupA,59488.51,5186.34,3,head_of_household,0
Male,GroupB,24618.48,8966.94,0,single,1
Female,GroupA,46105.74,13051.08,3,single,1
Female,GroupA,51814.35,10784.86,0,head_of_household,0
Male,GroupA,49518.23,7067.34,0,married,0
Female,GroupA,63047.1,11121.08,4,single,0
Male,GroupA,43551.6,13573.05,1,head_of_household,1
Male,GroupA,82420.61,0.0,1,married,0
Male,GroupB,60004.14,15795.37,2,head_of_household,1
Male,GroupB,59813.99,8318.73,4,single,0
Female,GroupB,53442.11,12127.45,4,married,0
Male,GroupA,63103.81,15986.23,1,married,1
Female,GroupA,76501.97,3141.63,4,head_of_household,0
Female,GroupC,42657.4,6452.79,1,married,0
Female,GroupB,46837.67,8557.26,4,single,0
Male,GroupA,53925.48,6081.23,0,single,0
Male,GroupA,33082.58,18674.68,1,single,1
Female,GroupA,43614.84,5716.14,1,head_of_household,0
Female,GroupA,50475.58,7222.27,3,married,0
Male,GroupA,77487.78,11021.95,4,married,0
Female,GroupB,65251.23,3989.25,4,married,0
Female,GroupB,63871.8,8021.6,1,single,0
Female,GroupB,77017.96,11587.27,0,married,0
Female,GroupB,57252.56,8335.7,0,single,0
Female,GroupC,67809.3,9533.07,0,married,0
Male,GroupB,57935.56,7353.34,4,single,0
Female,GroupC,65307.25,2427.65,3,married,0
Female,GroupA,48344.83,11607.97,1,head_of_household,0
Male,GroupA,20000.0,18774.67,2,head_of_household,1
Male,GroupA,57314.42,10092.01,3,single,0
Male,GroupB,88454.96,11126.32,2,single,0
Female,GroupC,78524.31,13463.61,3,married,0
Female,GroupA,79307.95,3653.35,0,married,0
Male,GroupC,84722.61,18512.57,4,head_of_household,0
Female,GroupA,61773.15,11011.64,2,married,0
Male,GroupC,63946.31,18159.28,3,single,1
Female,GroupA,47646.96,6334.84,4,single,0
Female,GroupA,53678.54,19090.31,2,single,1
Female,GroupA,72315.42,13875.78,1,single,0
Male,GroupA,84077.69,12765.2,3,single,0
Male,GroupA,57211.07,11170.12,1,head_of_household,0
Male,GroupA,50996.21,8757.36,0,head_of_household,0
Male,GroupC,60010.56,16002.66,1,single,1
Female,GroupB,72024.13,10701.8,1,married,0
Female,GroupA,31122.9,164.65,3,single,1
Female,GroupB,20000.0,4414.07,0,head_of_household,1
Female,GroupB,48989.26,9070.77,1,single,0
Female,GroupA,35585.75,11549.99,4,head_of_household,1
Female,GroupA,49837.2,9717.06,2,head_of_household,0
Female,GroupA,57044.39,16094.85,1,single,1
Female,GroupA,50935.03,244.49,0,single,0
Male,GroupB,89049.35,10717.94,1,married,0
Male,GroupA,66534.9,910.1,2,head_of_household,0
Male,GroupB,66009.49,13798.56,0,married,0
Female,GroupB,72444.14,9527.71,3,single,0
Female,GroupA,37223.34,12098.05,0,head_of_household,1
Male,GroupB,80782.24,5680.59,3,married,0
Female,GroupA,58484.71,16397.32,0,married,1
Female,GroupC,73409.61,15208.62,2,married,0
Male,GroupA,38562.86,12917.72,2,single,1
Male,GroupC,28924.82,9352.41,0,single,1
Female,GroupB,76357.79,12899.29,1,single,0
Male,GroupA,67528.19,6465.54,2,head_of_household,0
Female,GroupB,41958.97,14277.78,3,single,1
